latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.69991,-89.92255,336.09,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,293.26,5.21,N
49.70094,-89.92809,315.91,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.77,2.06,N
49.70219,-89.91555,313.01,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.34,3.22,N
49.70322,-89.9211,341.78,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,295.04,3.22,N
49.70425,-89.92664,311.95,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.46,2.03,N
49.70528,-89.93218,312.85,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.66,2.03,N
49.70654,-89.91963,319.73,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,290.28,3.22,N
49.70757,-89.92518,320.96,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,290.37,2.03,N
49.7086,-89.93072,321.3,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,290.38,2.03,N
49.728,-89.95816,306.62,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.28,1.09,N
49.7616,-97.1947,297.19,0.45,0.39,2026-08-01,822,N20,VIIRS,n,2.0NRT,286,0.55,N
49.86417,-90.01662,301.7,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,285.16,0.96,N
49.86518,-90.02216,309.18,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.24,0.96,N
49.86747,-90.01514,319.54,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.54,1.91,N
49.86848,-90.02068,321.66,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,290.15,1.91,N
49.87077,-90.01369,313.17,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.37,1.91,N
49.87178,-90.01923,315.92,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.82,1.91,N
49.91504,-90.07602,299.7,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.72,0.74,N
